5.7s 1 0.00s - Debugger warning: It seems that frozen modules are being used, which may
5.7s 2 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
5.7s 3 0.00s - to python to disable frozen modules.
5.7s 4 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
6.4s 5 0.00s - Debugger warning: It seems that frozen modules are being used, which may
6.4s 6 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
6.4s 7 0.00s - to python to disable frozen modules.
6.4s 8 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
33.6s 9 /tmp/ipykernel_19/3605133585.py:186: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
33.6s 10 scaler = torch.cuda.amp.GradScaler() if use_bfloat16 else None
54.4s 11 /tmp/ipykernel_19/3147236215.py:26: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
54.4s 12 with torch.cuda.amp.autocast(dtype=torch.bfloat16, enabled=use_bfloat16):
72.2s 13 Validation loss: 0.47929404217463273
73.1s 14 /tmp/ipykernel_19/713041530.py:62: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
73.1s 15 with torch.cuda.amp.autocast(dtype=torch.bfloat16, enabled=use_bfloat16):
660.3s 206 loss: 0.0037574363280900164, maskA: 299.0, maskB: 1.0
662.7s 207 loss: 0.0037434968703020564, maskA: 299.0, maskB: 1.0
665.1s 208 loss: 0.0037335344352865596, maskA: 299.0, maskB: 1.0
667.6s 209 loss: 0.003723428441210581, maskA: 299.0, maskB: 1.0
671.6s 210 loss: 0.0027997754514217377, maskA: 299.0, maskB: 1.0
674.0s 211 loss: 0.004152375040575862, maskA: 299.0, maskB: 1.0
676.5s 212 loss: 0.004036124984157227, maskA: 299.0, maskB: 1.0
678.9s 213 loss: 0.003950582554323539, maskA: 299.0, maskB: 1.0
681.4s 214 loss: 0.0037253869913245847, maskA: 299.0, maskB: 1.0
683.8s 215 loss: 0.0035133335657198637, maskA: 299.0, maskB: 1.0
686.3s 216 loss: 0.0033390483185343567, maskA: 299.0, maskB: 1.0
688.7s 217 loss: 0.0032337911256497174, maskA: 299.0, maskB: 1.0
691.2s 218 loss: 0.003120123127038464, maskA: 299.0, maskB: 1.0
693.6s 219 loss: 0.003090915856064185, maskA: 299.0, maskB: 1.0
696.0s 220 loss: 0.0031453655862092676, maskA: 299.0, maskB: 1.0
698.5s 221 loss: 0.0032856783678604138, maskA: 299.0, maskB: 1.0
700.9s 222 loss: 0.003295229068641697, maskA: 299.0, maskB: 1.0
703.4s 223 loss: 0.0033270534152833333, maskA: 299.0, maskB: 1.0
705.8s 224 loss: 0.0033895615075470497, maskA: 299.0, maskB: 1.0
708.3s 225 loss: 0.0034304165515727948, maskA: 299.0, maskB: 1.0
710.7s 226 loss: 0.003530418014396792, maskA: 299.0, maskB: 1.0
713.1s 227 loss: 0.0036308007608903082, maskA: 299.0, maskB: 1.0
715.6s 228 loss: 0.0038842507921035777, maskA: 299.0, maskB: 1.0
718.0s 229 loss: 0.004160271316318144, maskA: 299.0, maskB: 1.0
720.5s 230 loss: 0.004263519918759219, maskA: 299.0, maskB: 1.0
722.9s 231 loss: 0.004282296246791621, maskA: 299.0, maskB: 1.0
725.4s 232 loss: 0.00429378543891923, maskA: 299.0, maskB: 1.0
743.8s 233 Validation loss: 0.005368513505881987
744.6s 234 loss: 0.004311896524960538, maskA: 299.0, maskB: 1.0
747.0s 235 loss: 0.004335366659005524, maskA: 299.0, maskB: 1.0
749.5s 236 loss: 0.004395422959826382, maskA: 299.0, maskB: 1.0
751.9s 237 loss: 0.004400781766151103, maskA: 299.0, maskB: 1.0
754.4s 238 loss: 0.004393605264487962, maskA: 299.0, maskB: 1.0
756.8s 239 loss: 0.004346191591427419, maskA: 299.0, maskB: 1.0
759.2s 240 loss: 0.004288699157868873, maskA: 299.0, maskB: 1.0
761.7s 241 loss: 0.0042395315212708125, maskA: 299.0, maskB: 1.0
764.1s 242 loss: 0.004208615305384328, maskA: 299.0, maskB: 1.0
766.6s 243 loss: 0.004187038507402477, maskA: 299.0, maskB: 1.0
769.0s 244 loss: 0.004188572780054704, maskA: 299.0, maskB: 1.0
771.4s 245 loss: 0.0041814791342472965, maskA: 299.0, maskB: 1.0
773.9s 246 loss: 0.004179850532779433, maskA: 299.0, maskB: 1.0
776.3s 247 loss: 0.004164168415423431, maskA: 299.0, maskB: 1.0
778.8s 248 loss: 0.004150900954940429, maskA: 299.0, maskB: 1.0
781.2s 249 loss: 0.004133412785268342, maskA: 299.0, maskB: 1.0
783.6s 250 loss: 0.004149919736337231, maskA: 299.0, maskB: 1.0
786.1s 251 loss: 0.004196503951836684, maskA: 299.0, maskB: 1.0
788.5s 252 loss: 0.004219419105089476, maskA: 299.0, maskB: 1.0
791.0s 253 loss: 0.0042223791360098545, maskA: 299.0, maskB: 1.0
793.4s 254 loss: 0.004197132733451708, maskA: 299.0, maskB: 1.0
795.9s 255 loss: 0.004172545370683834, maskA: 299.0, maskB: 1.0
798.3s 256 loss: 0.004150333140353092, maskA: 299.0, maskB: 1.0
800.7s 257 loss: 0.004133216150098939, maskA: 299.0, maskB: 1.0
803.2s 258 loss: 0.004132048870266797, maskA: 299.0, maskB: 1.0
805.6s 259 loss: 0.004133741825619585, maskA: 299.0, maskB: 1.0
808.1s 260 loss: 0.004164511509772671, maskA: 299.0, maskB: 1.0
810.5s 261 loss: 0.0041860076619736, maskA: 299.0, maskB: 1.0
813.0s 262 loss: 0.004179765424534402, maskA: 299.0, maskB: 1.0
815.4s 263 loss: 0.004162763238030051, maskA: 299.0, maskB: 1.0
833.8s 264 Validation loss: 0.0029418609173705755
834.5s 265 loss: 0.004142735433403452, maskA: 299.0, maskB: 1.0
837.0s 266 loss: 0.00413977073668201, maskA: 299.0, maskB: 1.0
839.4s 267 loss: 0.004140400125969627, maskA: 299.0, maskB: 1.0
841.9s 268 loss: 0.004163469490678168, maskA: 299.0, maskB: 1.0
844.3s 269 loss: 0.004177171704131007, maskA: 299.0, maskB: 1.0
846.8s 270 loss: 0.004178014033066875, maskA: 299.0, maskB: 1.0
849.2s 271 loss: 0.004174177298698946, maskA: 299.0, maskB: 1.0
851.6s 272 loss: 0.004158781374767485, maskA: 299.0, maskB: 1.0
854.1s 273 loss: 0.004147864287336541, maskA: 299.0, maskB: 1.0
856.5s 274 loss: 0.004155930799234137, maskA: 299.0, maskB: 1.0
859.0s 275 loss: 0.004170287805447051, maskA: 299.0, maskB: 1.0
861.4s 276 loss: 0.00420055104337499, maskA: 299.0, maskB: 1.0
863.9s 277 loss: 0.004205562118705528, maskA: 299.0, maskB: 1.0
866.3s 278 loss: 0.004258803212585466, maskA: 299.0, maskB: 1.0
868.7s 279 loss: 0.004261324664990067, maskA: 299.0, maskB: 1.0
871.2s 280 loss: 0.004258083606791162, maskA: 299.0, maskB: 1.0
873.6s 281 loss: 0.0042702221945426855, maskA: 299.0, maskB: 1.0
876.1s 282 loss: 0.004286063710970275, maskA: 299.0, maskB: 1.0
878.5s 283 loss: 0.004321508326845403, maskA: 299.0, maskB: 1.0
880.9s 284 loss: 0.004346553231886589, maskA: 299.0, maskB: 1.0
883.4s 285 loss: 0.004354369158222099, maskA: 299.0, maskB: 1.0
885.8s 286 loss: 0.004362733920755848, maskA: 299.0, maskB: 1.0
888.3s 287 loss: 0.004348721465104558, maskA: 299.0, maskB: 1.0
890.7s 288 loss: 0.004337657853849624, maskA: 299.0, maskB: 1.0
893.2s 289 loss: 0.004325372585030236, maskA: 299.0, maskB: 1.0
895.6s 290 loss: 0.004311861790073904, maskA: 299.0, maskB: 1.0
898.1s 291 loss: 0.00430481734743881, maskA: 299.0, maskB: 1.0
900.5s 292 loss: 0.004297110098169956, maskA: 299.0, maskB: 1.0
902.9s 293 loss: 0.004278760767569387, maskA: 299.0, maskB: 1.0
905.4s 294 loss: 0.0042596553710667045, maskA: 299.0, maskB: 1.0
923.8s 295 Validation loss: 0.0023490687353142467
927.3s 296 loss: 0.004233763259011808, maskA: 299.0, maskB: 1.0
929.8s 297 loss: 0.004215479780383869, maskA: 299.0, maskB: 1.0
932.2s 298 loss: 0.004206670442301688, maskA: 299.0, maskB: 1.0
934.7s 299 loss: 0.004199104988109212, maskA: 299.0, maskB: 1.0
937.1s 300 loss: 0.004206348566769331, maskA: 299.0, maskB: 1.0
939.5s 301 loss: 0.00423541277471008, maskA: 299.0, maskB: 1.0
942.0s 302 loss: 0.004257447370976068, maskA: 299.0, maskB: 1.0
944.4s 303 loss: 0.004250569761209769, maskA: 299.0, maskB: 1.0
946.9s 304 loss: 0.0042568318604345465, maskA: 299.0, maskB: 1.0
949.3s 305 loss: 0.0042533764192717195, maskA: 299.0, maskB: 1.0
951.8s 306 loss: 0.004252877868296805, maskA: 299.0, maskB: 1.0
955.8s 307 loss: 0.003634462598711252, maskA: 299.0, maskB: 1.0
958.2s 308 loss: 0.0041968364437872715, maskA: 299.0, maskB: 1.0
960.7s 309 loss: 0.003849176856290017, maskA: 299.0, maskB: 1.0
963.1s 310 loss: 0.0033879176518248934, maskA: 299.0, maskB: 1.0
965.6s 311 loss: 0.00315831082577749, maskA: 299.0, maskB: 1.0
968.0s 312 loss: 0.0029740514617194146, maskA: 299.0, maskB: 1.0
970.4s 313 loss: 0.0028658330738239113, maskA: 299.0, maskB: 1.0
972.9s 314 loss: 0.0027615941969126884, maskA: 299.0, maskB: 1.0
975.3s 315 loss: 0.0027076883750312307, maskA: 299.0, maskB: 1.0
977.8s 316 loss: 0.0027262420613564306, maskA: 299.0, maskB: 1.0
980.2s 317 loss: 0.0028562945046342247, maskA: 299.0, maskB: 1.0
982.7s 318 loss: 0.002993631736702613, maskA: 299.0, maskB: 1.0
985.1s 319 loss: 0.0030403115386374233, maskA: 299.0, maskB: 1.0
987.6s 320 loss: 0.0030546177583853254, maskA: 299.0, maskB: 1.0
990.1s 321 loss: 0.00304357931249055, maskA: 299.0, maskB: 1.0
992.5s 322 loss: 0.0030208685302749176, maskA: 299.0, maskB: 1.0
994.9s 323 loss: 0.002982806992826995, maskA: 299.0, maskB: 1.0
997.4s 324 loss: 0.002925362823291393, maskA: 299.0, maskB: 1.0
999.8s 325 loss: 0.002884247788557402, maskA: 299.0, maskB: 1.0
1002.3s 326 loss: 0.002843267163651854, maskA: 299.0, maskB: 1.0
1019.2s 327 Validation loss: 0.0019708564437818355
1024.3s 328 loss: 0.002793347605490195, maskA: 299.0, maskB: 1.0
1026.7s 329 loss: 0.002746250365101578, maskA: 299.0, maskB: 1.0
1029.2s 330 loss: 0.0027163919136223144, maskA: 299.0, maskB: 1.0
1031.6s 331 loss: 0.0027196668557121187, maskA: 299.0, maskB: 1.0
1034.1s 332 loss: 0.002774423566507755, maskA: 299.0, maskB: 1.0
1036.5s 333 loss: 0.0028869899354348203, maskA: 299.0, maskB: 1.0
1038.9s 334 loss: 0.003028903674366402, maskA: 299.0, maskB: 1.0
1041.4s 335 loss: 0.0031020301458601087, maskA: 299.0, maskB: 1.0
1043.8s 336 loss: 0.003111265575284556, maskA: 299.0, maskB: 1.0
1046.3s 337 loss: 0.003085476972396354, maskA: 299.0, maskB: 1.0
1048.7s 338 loss: 0.0030767627024057744, maskA: 299.0, maskB: 1.0
1051.2s 339 loss: 0.0030935063282135646, maskA: 299.0, maskB: 1.0
1053.6s 340 loss: 0.0030914200371932065, maskA: 299.0, maskB: 1.0
1056.1s 341 loss: 0.0031275782833337287, maskA: 299.0, maskB: 1.0
1058.5s 342 loss: 0.0032262244795058523, maskA: 299.0, maskB: 1.0
1060.9s 343 loss: 0.0032863024389371276, maskA: 299.0, maskB: 1.0
1063.4s 344 loss: 0.0032918867697020854, maskA: 299.0, maskB: 1.0
1065.8s 345 loss: 0.003290337323075577, maskA: 299.0, maskB: 1.0
